date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:1:8.692	0.002	0.018	0.414	0.223	0.002	0.005	0.369	
0:1:8.931	0.003	0.010	0.400	0.197	0.003	0.006	0.217	
0:1:9.127	0.003	0.016	0.387	0.197	0.003	0.006	0.192	
0:1:9.334	0.002	0.031	0.418	0.208	0.004	0.006	0.159	
0:1:9.784	0.003	0.026	0.731	0.197	0.003	0.006	0.186	
0:1:9.989	0.003	0.025	0.487	0.194	0.003	0.006	0.193	
0:1:10.219	0.003	0.025	0.435	0.196	0.003	0.006	0.195	
0:1:10.494	0.003	0.024	0.439	0.196	0.003	0.005	0.220	
0:1:10.709	0.003	0.023	0.460	0.196	0.003	0.004	0.242	
0:1:10.934	0.003	0.022	0.662	0.196	0.003	0.005	0.243	
0:1:11.118	0.003	0.023	0.577	0.203	0.004	0.005	0.251	
0:1:11.287	0.003	0.023	0.579	0.212	0.005	0.005	0.234	
0:1:11.454	0.003	0.020	0.699	0.211	0.006	0.005	0.268	
0:1:11.620	0.003	0.013	0.858	0.205	0.007	0.005	0.357	
0:1:11.772	0.004	0.012	0.877	0.202	0.007	0.005	0.372	
0:1:11.928	0.004	0.009	1.118	0.198	0.008	0.005	0.457	
0:1:12.111	0.005	0.007	1.308	0.196	0.011	0.005	0.600	
0:1:12.264	0.006	0.005	1.293	0.195	0.013	0.005	0.745	
0:1:12.430	0.006	0.005	1.365	0.195	0.015	0.005	0.826	
0:1:12.590	0.006	0.004	1.479	0.195	0.016	0.005	0.898	
0:1:12.740	0.007	0.003	1.711	0.195	0.021	0.005	1.135	
0:1:12.897	0.008	0.003	2.092	0.194	0.025	0.005	1.326	
0:1:13.066	0.008	0.003	2.133	0.194	0.026	0.005	1.382	
0:1:13.231	0.008	0.003	1.889	0.195	0.025	0.005	1.324	
0:1:13.390	0.008	0.003	1.884	0.194	0.026	0.005	1.449	
0:1:14.962	0.007	0.003	2.343	0.227	0.087	0.002	3.554	
0:1:15.777	0.010	0.002	2.792	0.197	0.047	0.002	4.501	
0:1:16.424	0.011	0.002	3.951	0.196	0.051	0.002	6.119	
0:1:16.710	0.011	0.002	3.981	0.195	0.052	0.002	5.174	
0:1:16.965	0.011	0.002	2.624	0.194	0.049	0.002	5.436	
0:1:17.335	0.011	0.002	2.512	0.194	0.048	0.002	4.936	
0:1:17.546	0.012	0.002	2.527	0.194	0.050	0.002	4.581	
0:1:17.747	0.012	0.002	2.485	0.194	0.050	0.002	4.942	
0:1:18.062	0.012	0.002	2.768	0.194	0.052	0.002	5.352	
0:1:18.440	0.012	0.002	2.785	0.194	0.052	0.002	5.614	
0:1:18.812	0.012	0.002	3.006	0.194	0.050	0.002	7.007	
0:1:19.041	0.011	0.002	2.945	0.194	0.048	0.002	6.042	
0:1:19.324	0.011	0.002	3.043	0.194	0.045	0.002	5.753	
0:1:19.605	0.011	0.002	2.904	0.194	0.044	0.002	5.190	
0:1:19.816	0.010	0.002	2.923	0.194	0.042	0.002	3.810	
0:1:20.455	0.010	0.002	3.307	0.195	0.039	0.003	3.087	
0:1:20.635	0.009	0.002	3.257	0.194	0.034	0.003	2.592	
0:1:20.818	0.007	0.004	2.027	0.199	0.023	0.004	1.206	
0:1:21.043	0.008	0.003	2.205	0.199	0.034	0.004	1.609	
0:1:21.232	0.009	0.002	2.975	0.199	0.045	0.004	2.332	
0:1:21.429	0.010	0.002	3.751	0.194	0.037	0.003	2.340	
0:1:21.612	0.010	0.002	4.060	0.194	0.041	0.003	2.701	
0:1:21.797	0.011	0.002	3.668	0.194	0.042	0.003	3.241	
0:1:21.957	0.011	0.002	3.605	0.194	0.047	0.002	4.401	
0:1:22.143	0.011	0.002	3.458	0.194	0.046	0.002	4.910	
0:1:22.308	0.011	0.002	3.952	0.194	0.045	0.002	4.076	
0:1:22.461	0.011	0.002	4.235	0.194	0.046	0.002	4.173	
0:1:22.602	0.011	0.002	3.615	0.194	0.045	0.002	4.347	
0:1:22.786	0.010	0.002	2.537	0.194	0.039	0.003	3.250	
0:1:22.951	0.009	0.002	2.206	0.195	0.034	0.003	2.555	
0:1:23.119	0.009	0.003	2.236	0.195	0.032	0.003	2.392	
0:1:23.289	0.009	0.002	2.326	0.195	0.035	0.003	2.440	
0:1:23.443	0.009	0.003	2.644	0.195	0.032	0.003	2.367	
0:1:23.594	0.010	0.002	3.300	0.195	0.036	0.002	3.150	
0:1:23.747	0.010	0.002	2.644	0.195	0.037	0.003	2.953	
0:1:23.900	0.010	0.002	2.885	0.195	0.040	0.003	3.310	
0:1:24.045	0.011	0.002	5.170	0.195	0.044	0.002	3.826	
0:1:24.213	0.011	0.002	4.110	0.195	0.044	0.002	4.045	
0:1:24.372	0.010	0.002	4.111	0.195	0.036	0.002	3.102	
0:1:24.524	0.009	0.003	10.248	0.195	0.033	0.003	2.775	
0:1:24.682	0.008	0.003	4.515	0.195	0.028	0.003	2.117	
0:1:24.836	0.007	0.003	3.002	0.196	0.023	0.003	1.747	
0:1:25.004	0.008	0.003	3.185	0.195	0.023	0.003	2.021	
0:1:25.158	0.007	0.004	3.180	0.195	0.019	0.003	1.566	
0:1:25.320	0.007	0.004	10.124	0.195	0.018	0.003	1.559	
0:1:25.485	0.007	0.004	20.499	0.195	0.019	0.003	1.654	
0:1:25.644	0.006	0.004	3.959	0.196	0.018	0.003	1.455	
0:1:25.936	0.007	0.004	3.368	0.195	0.019	0.003	1.598	
0:1:26.093	0.007	0.004	3.071	0.195	0.019	0.003	1.492	
0:1:26.284	0.008	0.003	4.113	0.195	0.025	0.003	1.746	
0:1:26.442	0.007	0.004	5.872	0.195	0.018	0.003	1.332	
0:1:26.587	0.007	0.004	6.819	0.194	0.019	0.003	1.511	
0:1:26.720	0.007	0.004	3.589	0.195	0.021	0.003	1.716	
0:1:26.870	0.007	0.004	3.163	0.194	0.018	0.003	1.587	
0:1:27.020	0.007	0.004	2.890	0.194	0.018	0.003	1.508	
0:1:27.177	0.007	0.004	2.736	0.194	0.020	0.003	1.597	
0:1:27.323	0.007	0.004	3.645	0.194	0.018	0.003	1.524	
0:1:27.463	0.008	0.003	2.964	0.194	0.022	0.003	1.897	
0:1:27.606	0.008	0.003	2.608	0.194	0.025	0.003	2.132	
0:1:27.796	0.008	0.003	2.995	0.194	0.025	0.003	2.168	
0:1:28.018	0.008	0.003	4.727	0.194	0.028	0.003	2.186	
0:1:28.220	0.009	0.003	10.919	0.194	0.029	0.002	2.633	
0:1:28.383	0.008	0.003	11.946	0.195	0.027	0.002	2.433	
0:1:28.524	0.008	0.003	6.518	0.195	0.025	0.003	2.241	
0:1:28.668	0.008	0.003	6.791	0.195	0.023	0.003	1.784	
0:1:30.699	0.005	0.007	4.938	0.195	0.008	0.003	0.911	
0:1:31.339	0.006	0.005	52.751	0.196	0.014	0.001	3.076	
0:1:31.763	0.006	0.005	49.355	0.194	0.016	0.001	4.328	
0:1:32.147	0.004	0.010	51.389	0.194	0.007	0.001	1.899	
0:1:32.474	0.003	0.018	62.949	0.194	0.004	0.002	0.826	
0:1:32.731	0.003	0.031	51.112	0.194	0.006	0.002	0.556	
0:1:33.126	0.003	0.041	58.091	0.194	0.006	0.002	0.436	
0:1:33.389	0.003	0.054	24.882	0.195	0.006	0.002	0.413	
0:1:33.777	0.003	0.035	64.898	0.195	0.005	0.002	0.619	
0:1:34.034	0.003	0.028	9.104	0.196	0.004	0.002	0.556	
0:1:34.279	0.003	0.020	75.893	0.198	0.004	0.002	0.826	
0:1:34.458	0.003	0.020	32.960	0.196	0.004	0.002	0.766	
0:1:34.687	0.003	0.019	38.794	0.195	0.004	0.002	0.768	
0:1:34.964	0.003	0.019	20.310	0.195	0.005	0.002	0.674	
0:1:35.224	0.003	0.023	22.309	0.195	0.010	0.002	0.669	
0:1:35.404	0.003	0.025	35.881	0.195	0.006	0.002	0.537	
0:1:35.587	0.003	0.026	28.191	0.194	0.005	0.002	0.554	
0:1:35.784	0.003	0.021	6.758	0.195	0.004	0.002	0.532	
0:1:35.990	0.003	0.022	8.095	0.194	0.004	0.002	0.595	
0:1:36.196	0.003	0.024	48.901	0.194	0.004	0.002	0.729	
0:1:36.402	0.003	0.022	77.415	0.195	0.005	0.001	0.924	
0:1:36.588	0.004	0.019	76.194	0.195	0.005	0.001	1.182	
0:1:36.772	0.004	0.017	53.011	0.195	0.005	0.001	1.342	
0:1:36.952	0.003	0.034	58.734	0.195	0.004	0.001	1.159	
0:1:37.167	0.003	0.037	79.532	0.195	0.004	0.001	1.255	
0:1:37.350	0.003	0.031	72.749	0.195	0.006	0.001	1.097	
0:1:37.515	0.003	0.026	20.836	0.194	0.005	0.001	0.912	
0:1:37.674	0.004	0.027	43.624	0.195	0.005	0.001	1.278	
0:1:37.844	0.004	0.033	82.941	0.194	0.005	0.001	1.202	
0:1:38.000	0.004	0.025	47.911	0.194	0.005	0.001	1.217	
0:1:38.159	0.004	0.026	52.943	0.194	0.005	0.001	1.245	
0:1:38.337	0.004	0.021	51.872	0.194	0.005	0.001	1.198	
0:1:38.495	0.004	0.024	60.724	0.194	0.012	0.001	1.326	
0:1:38.646	0.004	0.023	68.552	0.194	0.013	0.001	1.450	
0:1:38.802	0.004	0.019	86.503	0.194	0.007	0.001	1.509	
0:1:38.967	0.004	0.020	95.680	0.194	0.009	0.001	1.347	
0:1:39.122	0.004	0.022	96.084	0.194	0.006	0.001	1.435	
0:1:39.292	0.004	0.021	93.116	0.194	0.005	0.001	1.381	
0:1:39.454	0.004	0.024	85.396	0.194	0.005	0.001	1.128	
0:1:39.613	0.004	0.025	95.426	0.194	0.005	0.001	0.938	
0:1:39.768	0.003	0.029	97.514	0.194	0.005	0.001	0.822	
0:1:39.923	0.003	0.035	84.235	0.194	0.006	0.002	0.668	
0:1:40.082	0.003	0.038	85.469	0.194	0.007	0.002	0.638	
0:1:40.249	0.003	0.039	91.875	0.194	0.008	0.002	0.565	
0:1:40.394	0.003	0.038	89.634	0.194	0.006	0.002	0.465	
0:1:40.547	0.003	0.028	94.906	0.194	0.007	0.002	0.499	
0:1:40.688	0.003	0.031	98.063	0.194	0.007	0.002	0.430	
0:1:40.889	0.003	0.032	97.638	0.194	0.006	0.002	0.410	
0:1:41.085	0.003	0.032	92.481	0.194	0.009	0.003	0.344	
