date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:16.080	0.393	0.002	0.164	0.027	0.005	0.002	0.769	
0:0:16.131	0.689	0.001	0.166	0.022	0.005	0.002	0.926	
0:0:16.200	0.410	0.001	0.274	0.029	0.007	0.002	1.084	
0:0:16.252	0.288	0.001	0.406	0.036	0.009	0.002	1.323	
0:0:16.310	0.329	0.001	0.414	0.034	0.009	0.002	1.329	
0:0:16.372	0.115	0.002	0.636	0.053	0.013	0.002	1.183	
0:0:16.437	0.062	0.002	0.767	0.069	0.016	0.002	1.068	
0:0:16.496	0.036	0.002	0.956	0.088	0.023	0.003	1.007	
0:0:16.549	0.027	0.003	1.095	0.102	0.027	0.003	1.016	
0:0:16.601	0.017	0.003	1.237	0.121	0.041	0.004	0.835	
0:0:16.651	0.009	0.004	1.738	0.168	0.063	0.005	0.835	
0:0:16.708	0.007	0.004	2.134	0.194	0.082	0.005	0.885	
0:0:16.770	0.007	0.004	2.421	0.199	0.075	0.005	1.041	
0:0:16.821	0.010	0.003	2.703	0.182	0.050	0.004	1.497	
0:0:16.875	0.013	0.002	2.485	0.170	0.039	0.004	1.968	
0:0:16.932	0.014	0.002	2.286	0.168	0.038	0.004	2.085	
0:0:16.985	0.014	0.002	2.180	0.169	0.038	0.004	2.159	
0:0:17.039	0.013	0.002	2.146	0.173	0.039	0.004	2.147	
0:0:17.098	0.013	0.002	2.180	0.177	0.040	0.004	2.160	
0:0:17.160	0.013	0.002	2.145	0.179	0.040	0.005	2.207	
0:0:17.216	0.012	0.002	1.960	0.178	0.038	0.004	2.276	
0:0:17.268	0.012	0.002	1.885	0.179	0.039	0.005	2.292	
0:0:17.319	0.012	0.002	1.659	0.181	0.038	0.004	2.440	
0:0:17.370	0.011	0.002	1.422	0.185	0.037	0.004	2.535	
0:0:17.420	0.011	0.002	1.266	0.187	0.038	0.005	2.563	
0:0:17.470	0.011	0.002	1.051	0.189	0.039	0.005	2.625	
0:0:17.522	0.011	0.002	0.911	0.189	0.039	0.005	2.700	
0:0:17.589	0.011	0.002	0.811	0.189	0.040	0.005	2.629	
0:0:17.647	0.011	0.002	1.311	0.189	0.041	0.005	2.528	
0:0:17.699	0.011	0.002	1.493	0.188	0.040	0.005	2.421	
0:0:17.749	0.011	0.002	1.873	0.187	0.038	0.005	2.366	
0:0:17.802	0.011	0.002	2.005	0.185	0.036	0.005	2.222	
0:0:17.854	0.010	0.002	1.916	0.183	0.031	0.005	2.018	
0:0:17.910	0.010	0.002	1.680	0.179	0.024	0.005	1.675	
0:0:17.969	0.009	0.003	1.354	0.172	0.016	0.005	1.270	
