date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:56.006	0.012	0.002	85.135	0.194	0.057	0.001	15.483	
0:0:57.761	0.008	0.002	96.885	0.203	0.028	0.001	24.224	
0:0:58.322	0.001	0.002	74.238	0.197	0.001	0.001	97.858	
0:0:58.757	0.001	0.002	61.550	0.195	0.001	0.001	98.345	
0:0:59.033	0.001	0.002	53.322	0.194	0.001	0.001	98.211	
0:0:59.359	0.001	0.001	53.698	0.194	0.001	0.001	97.819	
0:0:59.639	0.001	0.002	39.790	0.194	0.001	0.001	98.396	
0:0:59.928	0.001	0.008	42.073	0.194	0.001	0.001	98.978	
0:1:0.148	0.001	0.011	55.075	0.194	0.001	0.001	98.976	
0:1:0.538	0.001	0.002	43.864	0.194	0.001	0.001	97.590	
0:1:0.872	0.001	0.009	50.895	0.194	0.001	0.001	98.322	
0:1:1.252	0.001	0.045	33.239	0.194	0.001	0.001	98.868	
0:1:1.481	0.001	0.029	27.126	0.194	0.001	0.001	98.764	
0:1:1.741	0.001	0.029	92.008	0.195	0.001	0.001	98.377	
0:1:2.052	0.001	0.014	61.616	0.195	0.001	0.001	97.493	
0:1:2.287	0.001	0.005	65.013	0.200	0.001	0.001	93.676	
0:1:2.523	0.001	0.002	97.959	0.206	0.001	0.001	90.235	
0:1:2.785	0.001	0.002	69.338	0.204	0.001	0.001	88.418	
0:1:3.076	0.002	0.001	61.916	0.199	0.001	0.001	83.060	
0:1:3.307	0.002	0.014	83.194	0.382	1.188	0.002	1.517	
0:1:3.514	0.001	0.139	92.482	0.682	14.359	0.003	0.295	
0:1:3.716	0.001	0.987	99.608	1.113	60.810	0.005	0.062	
0:1:3.932	0.002	0.016	85.922	0.389	1.236	0.002	1.712	
0:1:4.108	0.005	0.004	55.947	0.243	0.128	0.001	6.471	
0:1:4.321	0.008	0.003	40.157	0.207	0.047	0.001	8.533	
0:1:4.531	0.006	0.004	22.933	0.220	0.053	0.001	6.595	
0:1:4.720	0.006	0.004	23.703	0.250	0.280	0.001	6.962	
0:1:4.875	0.001	0.106	17.902	0.630	42.954	0.002	0.406	
0:1:5.036	0.001	0.676	7.799	1.064	97.165	0.004	0.089	
0:1:5.186	0.001	0.596	7.636	1.045	94.061	0.004	0.096	
0:1:5.340	0.001	1.001	10.527	1.292	93.044	0.005	0.062	
0:1:5.502	0.001	1.313	11.225	1.528	86.040	0.005	0.049	
0:1:5.664	0.001	1.203	15.002	1.808	72.424	0.005	0.052	
0:1:5.825	0.001	1.258	13.333	3.902	70.348	0.006	0.047	
0:1:6.010	0.001	0.549	9.736	7.833	41.736	0.005	0.079	
0:1:6.162	0.001	0.480	11.337	31.135	33.239	0.010	0.052	
