date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:36.512	99.704	0.001	0.598	0.001	0.001	0.001	2.054	
0:0:36.665	99.678	0.001	0.695	0.001	0.001	0.001	1.977	
0:0:36.803	99.664	0.001	0.829	0.001	0.001	0.001	2.174	
0:0:36.939	99.665	0.001	0.926	0.001	0.001	0.001	2.419	
0:0:37.078	99.689	0.001	1.078	0.001	0.001	0.001	1.803	
0:0:37.220	99.727	0.001	1.283	0.001	0.001	0.001	1.831	
0:0:37.356	99.759	0.001	1.412	0.001	0.001	0.001	1.893	
0:0:37.485	99.805	0.001	1.659	0.001	0.001	0.001	2.082	
0:0:37.615	99.807	0.001	1.660	0.001	0.001	0.001	1.627	
0:0:37.750	99.843	0.001	1.851	0.001	0.001	0.001	1.828	
0:0:37.889	99.857	0.001	1.900	0.001	0.001	0.001	1.471	
0:0:38.015	99.849	0.001	1.608	0.001	0.001	0.001	1.264	
0:0:38.151	99.835	0.001	1.259	0.001	0.001	0.001	1.087	
0:0:38.286	99.810	0.001	0.900	0.001	0.001	0.001	0.902	
0:0:38.436	99.709	0.001	0.561	0.001	0.001	0.001	0.960	
0:0:38.563	99.695	0.001	0.733	0.001	0.001	0.001	1.292	
0:0:38.706	99.673	0.001	0.567	0.001	0.001	0.001	1.584	
0:0:38.871	99.334	0.001	0.519	0.001	0.001	0.001	1.900	
0:0:39.000	99.343	0.001	0.516	0.001	0.001	0.001	2.028	
0:0:39.117	95.495	0.001	0.824	0.001	0.001	0.001	1.693	
0:0:39.249	76.197	0.001	0.325	0.002	0.001	0.001	1.421	
0:0:39.385	0.034	0.006	1.855	0.053	0.002	0.001	1.119	
0:0:39.504	0.003	0.004	0.423	0.177	0.013	0.002	0.436	
0:0:39.628	0.003	0.004	0.318	0.193	0.017	0.004	0.236	
0:0:39.750	0.003	0.007	0.689	0.194	0.010	0.005	0.205	
0:0:39.885	0.003	0.049	0.980	0.194	0.009	0.003	0.197	
0:0:40.055	0.003	0.246	0.995	0.194	0.008	0.002	0.196	
0:0:40.208	0.003	0.310	0.564	0.194	0.013	0.002	0.200	
0:0:40.372	0.003	0.311	0.345	0.185	0.029	0.002	0.208	
0:0:40.489	63.718	0.006	0.005	0.002	0.001	0.001	0.243	
