date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:26.478	0.003	0.074	0.427	0.194	0.003	0.003	0.196	
0:0:26.542	0.003	0.070	0.427	0.194	0.003	0.003	0.196	
0:0:26.606	0.003	0.058	0.427	0.194	0.003	0.004	0.196	
0:0:26.671	0.003	0.057	0.427	0.194	0.003	0.004	0.196	
0:0:26.737	0.003	0.055	0.427	0.194	0.003	0.004	0.196	
0:0:26.811	0.003	0.057	0.427	0.194	0.003	0.004	0.196	
0:0:26.891	0.003	0.056	0.427	0.194	0.003	0.004	0.197	
0:0:26.974	0.003	0.063	0.427	0.194	0.003	0.003	0.197	
0:0:27.049	0.003	0.069	0.427	0.194	0.003	0.003	0.197	
0:0:27.117	0.003	0.063	0.427	0.194	0.003	0.003	0.197	
0:0:27.182	0.003	0.069	0.427	0.194	0.003	0.003	0.197	
0:0:27.246	0.003	0.075	0.427	0.194	0.003	0.003	0.197	
0:0:27.316	0.003	0.076	0.427	0.194	0.003	0.003	0.198	
0:0:27.384	0.003	0.082	0.427	0.194	0.003	0.003	0.198	
0:0:27.453	0.003	0.083	0.427	0.194	0.003	0.003	0.198	
0:0:27.517	0.003	0.094	0.427	0.194	0.003	0.003	0.198	
0:0:27.581	0.003	0.100	0.427	0.194	0.003	0.003	0.197	
0:0:27.650	0.003	0.116	0.427	0.194	0.003	0.003	0.196	
0:0:27.721	0.003	0.122	0.427	0.194	0.003	0.003	0.196	
0:0:27.786	0.003	0.118	0.427	0.194	0.003	0.003	0.196	
0:0:27.852	0.003	0.116	0.427	0.194	0.003	0.003	0.195	
0:0:28.106	0.003	0.110	0.427	0.194	0.003	0.003	0.196	
0:0:28.180	0.003	0.109	0.427	0.194	0.003	0.003	0.197	
0:0:28.248	0.003	0.105	0.427	0.194	0.003	0.003	0.199	
0:0:28.354	0.003	0.101	0.427	0.194	0.003	0.003	0.207	
0:0:28.440	0.003	0.111	0.427	0.194	0.003	0.003	0.206	
0:0:28.516	0.003	0.106	0.427	0.194	0.003	0.003	0.206	
0:0:28.614	0.003	0.102	0.427	0.194	0.003	0.003	0.205	
0:0:28.686	0.003	0.105	0.427	0.194	0.003	0.003	0.205	
0:0:28.751	0.003	0.109	0.427	0.194	0.003	0.003	0.204	
0:0:28.821	0.003	0.112	0.427	0.194	0.003	0.003	0.202	
0:0:28.890	0.003	0.121	0.427	0.194	0.003	0.002	0.201	
0:0:28.965	0.003	0.113	0.427	0.194	0.003	0.003	0.199	
0:0:29.043	0.003	0.114	0.427	0.194	0.003	0.003	0.198	
0:0:29.106	0.003	0.117	0.427	0.194	0.003	0.003	0.198	
0:0:29.174	0.003	0.110	0.427	0.194	0.003	0.003	0.197	
0:0:29.246	0.003	0.098	0.427	0.194	0.003	0.003	0.197	
0:0:29.321	0.003	0.084	0.427	0.194	0.003	0.003	0.197	
0:0:29.400	0.003	0.078	0.427	0.194	0.003	0.003	0.196	
0:0:29.493	0.003	0.072	0.427	0.194	0.003	0.003	0.198	
0:0:29.559	0.003	0.070	0.427	0.194	0.003	0.003	0.201	
0:0:29.649	0.003	0.059	0.427	0.194	0.003	0.003	0.205	
0:0:29.775	0.003	0.050	0.427	0.194	0.003	0.004	0.208	
0:0:29.850	0.003	0.047	0.427	0.194	0.003	0.004	0.210	
0:0:29.914	0.003	0.045	0.427	0.194	0.003	0.004	0.211	
0:0:29.981	0.003	0.047	0.427	0.194	0.003	0.004	0.207	
0:0:30.050	0.003	0.045	0.427	0.194	0.003	0.004	0.202	
0:0:30.121	0.003	0.046	0.427	0.194	0.003	0.004	0.199	
0:0:30.185	0.003	0.047	0.427	0.194	0.003	0.004	0.197	
0:0:30.250	0.003	0.049	0.427	0.194	0.003	0.004	0.197	
0:0:30.319	0.003	0.053	0.427	0.194	0.003	0.004	0.197	
0:0:30.384	0.003	0.061	0.427	0.194	0.003	0.003	0.196	
0:0:30.451	0.003	0.063	0.427	0.194	0.003	0.003	0.196	
0:0:30.517	0.003	0.061	0.427	0.194	0.003	0.003	0.196	
0:0:30.605	0.003	0.066	0.427	0.194	0.003	0.003	0.196	
0:0:30.677	0.003	0.073	0.427	0.194	0.003	0.003	0.195	
0:0:30.741	0.003	0.072	0.427	0.194	0.003	0.003	0.195	
0:0:30.808	0.003	0.079	0.427	0.194	0.003	0.003	0.195	
0:0:30.871	0.003	0.086	0.427	0.194	0.003	0.003	0.195	
0:0:30.934	0.003	0.081	0.427	0.194	0.003	0.003	0.195	
0:0:30.996	0.003	0.092	0.427	0.194	0.003	0.003	0.196	
0:0:31.058	0.003	0.095	0.427	0.194	0.003	0.003	0.196	
0:0:31.121	0.003	0.093	0.427	0.194	0.003	0.003	0.196	
0:0:31.193	0.003	0.088	0.427	0.194	0.003	0.003	0.196	
0:0:31.258	0.003	0.088	0.427	0.194	0.003	0.003	0.196	
0:0:31.328	0.003	0.085	0.427	0.194	0.003	0.003	0.196	
0:0:31.396	0.003	0.089	0.427	0.194	0.003	0.003	0.196	
0:0:31.458	0.003	0.097	0.427	0.194	0.003	0.003	0.196	
0:0:31.521	0.003	0.100	0.427	0.194	0.003	0.003	0.196	
0:0:31.585	0.003	0.093	0.427	0.194	0.003	0.003	0.196	
0:0:31.651	0.003	0.088	0.427	0.194	0.003	0.003	0.196	
0:0:31.712	0.003	0.089	0.427	0.194	0.003	0.003	0.196	
0:0:31.776	0.003	0.084	0.427	0.194	0.003	0.003	0.196	
0:0:31.840	0.003	0.082	0.427	0.194	0.003	0.003	0.196	
0:0:31.908	0.003	0.077	0.427	0.194	0.003	0.003	0.196	
0:0:31.973	0.003	0.080	0.427	0.194	0.003	0.003	0.196	
0:0:32.036	0.003	0.069	0.427	0.194	0.003	0.003	0.196	
0:0:32.101	0.003	0.064	0.427	0.194	0.003	0.003	0.196	
0:0:32.165	0.003	0.068	0.427	0.194	0.003	0.003	0.196	
0:0:32.228	0.003	0.065	0.427	0.194	0.003	0.003	0.196	
0:0:32.296	0.003	0.068	0.427	0.194	0.003	0.003	0.196	
0:0:32.361	0.003	0.071	0.427	0.194	0.003	0.003	0.196	
0:0:32.428	0.003	0.064	0.427	0.194	0.003	0.003	0.196	
0:0:32.491	0.003	0.062	0.427	0.194	0.003	0.003	0.196	
0:0:32.555	0.003	0.064	0.427	0.194	0.003	0.003	0.197	
0:0:32.619	0.003	0.063	0.427	0.194	0.003	0.003	0.197	
0:0:32.681	0.003	0.065	0.427	0.194	0.003	0.003	0.197	
0:0:32.747	0.003	0.069	0.427	0.194	0.003	0.003	0.197	
0:0:32.817	0.003	0.071	0.427	0.194	0.003	0.003	0.196	
0:0:32.887	0.003	0.066	0.427	0.194	0.003	0.003	0.196	
0:0:32.962	0.003	0.068	0.427	0.194	0.003	0.003	0.196	
0:0:33.027	0.003	0.067	0.427	0.194	0.003	0.003	0.196	
0:0:33.095	0.003	0.064	0.427	0.194	0.003	0.003	0.196	
0:0:33.158	0.003	0.068	0.427	0.194	0.003	0.003	0.196	
0:0:33.222	0.003	0.065	0.427	0.194	0.003	0.003	0.196	
0:0:33.289	0.003	0.065	0.427	0.194	0.003	0.003	0.195	
0:0:33.360	0.003	0.061	0.427	0.194	0.003	0.003	0.195	
0:0:33.440	0.003	0.063	0.427	0.194	0.003	0.003	0.196	
0:0:33.505	0.003	0.064	0.427	0.194	0.003	0.003	0.196	
0:0:33.565	0.003	0.054	0.427	0.194	0.003	0.004	0.196	
0:0:33.629	0.003	0.053	0.427	0.194	0.003	0.004	0.197	
0:0:33.703	0.003	0.050	0.427	0.194	0.003	0.004	0.198	
0:0:33.780	0.003	0.046	0.428	0.194	0.003	0.004	0.198	
0:0:33.849	0.003	0.047	0.427	0.194	0.003	0.004	0.200	
0:0:33.911	0.003	0.050	0.427	0.194	0.003	0.004	0.200	
0:0:33.975	0.003	0.051	0.427	0.194	0.003	0.004	0.200	
0:0:34.052	0.003	0.050	0.427	0.194	0.003	0.004	0.199	
0:0:34.122	0.003	0.049	0.427	0.194	0.003	0.004	0.198	
0:0:34.186	0.003	0.051	0.428	0.194	0.003	0.004	0.197	
0:0:34.252	0.003	0.046	0.428	0.194	0.003	0.004	0.197	
0:0:34.321	0.003	0.046	0.428	0.194	0.003	0.004	0.196	
0:0:34.386	0.003	0.044	0.428	0.194	0.003	0.004	0.196	
0:0:34.450	0.003	0.041	0.428	0.194	0.003	0.004	0.196	
0:0:34.512	0.003	0.042	0.428	0.194	0.003	0.004	0.196	
0:0:34.576	0.003	0.043	0.428	0.194	0.003	0.004	0.196	
0:0:34.640	0.003	0.042	0.428	0.194	0.003	0.004	0.196	
