date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:1:44.777	0.012	0.002	2.674	0.194	0.063	0.005	2.412	
0:1:44.969	0.012	0.002	2.585	0.196	0.056	0.005	2.421	
0:1:45.190	0.011	0.002	2.565	0.196	0.049	0.005	2.640	
0:1:45.459	0.010	0.002	2.517	0.195	0.040	0.005	2.859	
0:1:45.798	0.007	0.002	2.372	0.196	0.022	0.004	3.960	
0:1:46.922	0.004	0.015	0.560	0.331	0.006	0.005	0.261	
0:1:47.320	0.010	0.003	1.320	0.178	0.020	0.005	1.091	
0:1:47.851	0.008	0.003	1.815	0.209	0.028	0.005	1.409	
0:1:48.199	0.011	0.002	2.506	0.203	0.049	0.005	2.236	
0:1:48.702	0.011	0.002	2.438	0.205	0.046	0.005	2.125	
0:1:49.008	0.011	0.002	2.289	0.205	0.044	0.005	1.933	
0:1:49.255	0.008	0.003	1.693	0.201	0.027	0.006	1.270	
0:1:49.463	0.006	0.005	1.136	0.195	0.013	0.005	0.737	
0:1:49.609	0.005	0.006	1.074	0.195	0.012	0.005	0.673	
0:1:51.821	0.003	0.010	1.263	0.247	0.121	0.008	0.373	
0:1:52.884	0.006	0.007	0.719	0.291	0.007	0.005	0.471	
0:1:53.661	0.008	0.004	1.168	0.191	0.017	0.005	0.845	
0:1:54.014	0.009	0.003	2.521	0.193	0.042	0.005	1.491	
0:1:54.427	0.009	0.003	2.128	0.194	0.048	0.005	1.558	
0:1:54.820	0.009	0.003	1.925	0.194	0.035	0.005	1.508	
0:1:55.341	0.009	0.003	2.037	0.194	0.034	0.005	1.520	
0:1:55.791	0.010	0.002	2.285	0.194	0.048	0.005	1.814	
0:1:56.130	0.011	0.002	2.451	0.194	0.058	0.005	2.105	
0:1:56.463	0.012	0.002	2.856	0.195	0.074	0.005	2.275	
0:1:56.708	0.012	0.002	2.685	0.196	0.089	0.005	2.206	
0:1:56.900	0.012	0.002	2.760	0.197	0.081	0.005	2.262	
0:1:57.157	0.012	0.002	2.670	0.198	0.076	0.005	2.274	
0:1:57.542	0.012	0.002	2.544	0.201	0.069	0.005	2.208	
0:1:57.764	0.011	0.002	2.883	0.213	0.063	0.005	2.117	
0:1:58.001	0.011	0.002	3.214	0.210	0.069	0.005	2.135	
0:1:58.184	0.012	0.002	2.972	0.211	0.081	0.005	2.145	
0:1:58.404	0.012	0.002	2.519	0.200	0.062	0.005	2.199	
0:1:58.624	0.012	0.002	2.794	0.199	0.059	0.005	2.210	
0:1:58.842	0.012	0.002	2.635	0.199	0.057	0.005	2.240	
0:1:59.036	0.012	0.002	2.487	0.216	0.061	0.005	2.256	
0:1:59.230	0.012	0.002	2.339	0.220	0.051	0.005	2.154	
0:1:59.414	0.012	0.002	2.453	0.266	0.056	0.005	2.138	
0:1:59.638	0.011	0.002	2.374	0.260	0.050	0.005	2.140	
0:1:59.852	0.010	0.002	2.144	0.214	0.043	0.005	1.788	
0:2:0.004	0.010	0.002	2.019	0.209	0.036	0.005	1.688	
0:2:0.184	0.008	0.003	1.595	0.200	0.024	0.005	1.189	
0:2:0.333	0.006	0.004	1.318	0.200	0.018	0.005	0.906	
0:2:0.481	0.005	0.006	1.057	0.200	0.012	0.005	0.667	
0:2:0.651	0.005	0.006	1.044	0.204	0.012	0.006	0.621	
0:2:0.780	0.006	0.005	1.164	0.202	0.015	0.006	0.728	
0:2:0.905	0.006	0.005	1.246	0.205	0.017	0.006	0.803	
0:2:1.043	0.006	0.005	1.193	0.204	0.016	0.006	0.757	
0:2:1.219	0.006	0.005	1.236	0.206	0.018	0.006	0.803	
0:2:1.433	0.006	0.004	1.342	0.206	0.021	0.006	0.875	
0:2:1.565	0.006	0.005	1.237	0.205	0.019	0.006	0.768	
0:2:1.722	0.006	0.005	1.163	0.201	0.016	0.006	0.710	
0:2:1.842	0.006	0.005	1.221	0.201	0.017	0.006	0.767	
0:2:1.975	0.006	0.004	1.280	0.200	0.018	0.006	0.843	
0:2:2.105	0.006	0.005	1.206	0.203	0.016	0.006	0.769	
0:2:2.231	0.005	0.005	1.174	0.208	0.018	0.006	0.696	
0:2:2.413	0.004	0.008	1.103	0.229	0.024	0.007	0.494	
0:2:2.613	0.004	0.008	1.138	0.243	0.036	0.007	0.458	
0:2:2.797	0.004	0.007	1.095	0.263	0.029	0.006	0.516	
0:2:2.947	0.005	0.006	1.023	0.246	0.017	0.006	0.591	
0:2:3.070	0.005	0.006	1.145	0.267	0.024	0.006	0.662	
0:2:3.188	0.005	0.005	1.256	0.313	0.034	0.006	0.715	
0:2:3.304	0.007	0.004	1.464	0.372	0.036	0.006	0.962	
